Node,Technology,Period,Capacity
Belgium,Wind_onshr,5,14133.0
Bosnia H,Wind_onshr,5,2875.0
Bulgaria,Wind_onshr,5,1623.0
Croatia,Wind_onshr,5,11878.0
Czech R,Wind_onshr,5,4891.0
Denmark,Wind_onshr,5,9957.0
Estonia,Wind_onshr,5,3563.0
Finland,Wind_onshr,5,30914.0
France,Wind_onshr,5,157801.0
Germany,Wind_onshr,5,121544.0
Great Brit.,Wind_onshr,5,76262.0
Greece,Wind_onshr,5,34341.0
Hungary,Wind_onshr,5,4839.0
Ireland,Wind_onshr,5,19131.0
Italy,Wind_onshr,5,42343.0
Latvia,Wind_onshr,5,5906.0
Lithuania,Wind_onshr,5,14898.0
Luxemb.,Wind_onshr,5,674.0
Macedonia,Wind_onshr,5,2574.0
NO1,Wind_onshr,5,1793.0
NO2,Wind_onshr,5,4497.0
NO3,Wind_onshr,5,2200.0
NO4,Wind_onshr,5,2501.0
NO5,Wind_onshr,5,2887.0
Netherlands,Wind_onshr,5,35042.0
Poland,Wind_onshr,5,66064.0
Portugal,Wind_onshr,5,12524.0
Romania,Wind_onshr,5,10254.0
Serbia,Wind_onshr,5,13495.0
Slovakia,Wind_onshr,5,4646.0
Slovenia,Wind_onshr,5,2394.0
Spain,Wind_onshr,5,80355.0
Sweden,Wind_onshr,5,62576.0
Switzerland,Wind_onshr,5,912.0
Austria,Wind_onshr,6,19943.0
Belgium,Wind_onshr,6,15988.0
Bosnia H,Wind_onshr,6,4162.0
Bulgaria,Wind_onshr,6,1994.0
Croatia,Wind_onshr,6,15422.0
Czech R,Wind_onshr,6,8374.0
Denmark,Wind_onshr,6,11634.0
Estonia,Wind_onshr,6,4923.0
Finland,Wind_onshr,6,31177.0
France,Wind_onshr,6,223293.0
Germany,Wind_onshr,6,129488.0
Great Brit.,Wind_onshr,6,101947.0
Greece,Wind_onshr,6,44524.0
Hungary,Wind_onshr,6,8215.0
Ireland,Wind_onshr,6,22841.0
Italy,Wind_onshr,6,56065.0
Latvia,Wind_onshr,6,7393.0
Lithuania,Wind_onshr,6,17009.0
Luxemb.,Wind_onshr,6,685.0
Macedonia,Wind_onshr,6,3526.0
NO1,Wind_onshr,6,1813.0
NO2,Wind_onshr,6,4578.0
NO3,Wind_onshr,6,2200.0
NO4,Wind_onshr,6,2515.0
NO5,Wind_onshr,6,2927.0
Netherlands,Wind_onshr,6,40777.0
Poland,Wind_onshr,6,81399.0
Portugal,Wind_onshr,6,15131.0
Romania,Wind_onshr,6,13572.0
Serbia,Wind_onshr,6,14568.0
Slovakia,Wind_onshr,6,7650.0
Slovenia,Wind_onshr,6,3177.0
Spain,Wind_onshr,6,99242.0
Sweden,Wind_onshr,6,64619.0
Switzerland,Wind_onshr,6,949.0
Austria,Wind_onshr,7,22992.0
Belgium,Wind_onshr,7,17125.0
Bosnia H,Wind_onshr,7,5751.0
Bulgaria,Wind_onshr,7,2444.0
Croatia,Wind_onshr,7,17847.0
Czech R,Wind_onshr,7,13888.0
Denmark,Wind_onshr,7,13440.0
Estonia,Wind_onshr,7,6228.0
Finland,Wind_onshr,7,31240.0
France,Wind_onshr,7,290909.0
Germany,Wind_onshr,7,134842.0
Great Brit.,Wind_onshr,7,129023.0
Greece,Wind_onshr,7,52882.0
Hungary,Wind_onshr,7,13448.0
Ireland,Wind_onshr,7,25747.0
Italy,Wind_onshr,7,72932.0
Latvia,Wind_onshr,7,8266.0
Lithuania,Wind_onshr,7,17943.0
Luxemb.,Wind_onshr,7,692.0
Macedonia,Wind_onshr,7,4569.0
NO1,Wind_onshr,7,1818.0
NO2,Wind_onshr,7,4606.0
NO3,Wind_onshr,7,2200.0
NO4,Wind_onshr,7,2518.0
NO5,Wind_onshr,7,2937.0
Netherlands,Wind_onshr,7,44434.0
Poland,Wind_onshr,7,91952.0
Portugal,Wind_onshr,7,18157.0
Romania,Wind_onshr,7,17740.0
Serbia,Wind_onshr,7,14882.0
Slovakia,Wind_onshr,7,11965.0
Slovenia,Wind_onshr,7,3981.0
Spain,Wind_onshr,7,120788.0
Sweden,Wind_onshr,7,65399.0
Switzerland,Wind_onshr,7,971.0
Austria,Solar,1,7294.0
Belgium,Solar,1,8789.0
Bosnia H,Solar,1,500.0
Bulgaria,Solar,1,4055.0
Croatia,Solar,1,500.0
Czech R,Solar,1,4008.0
Denmark,Solar,1,4391.0
Estonia,Solar,1,812.0
Finland,Solar,1,900.0
France,Solar,1,24500.0
Germany,Solar,1,96000.0
Great Brit.,Solar,1,16900.0
Greece,Solar,1,7030.0
Hungary,Solar,1,5835.0
Ireland,Solar,1,738.0
Italy,Solar,1,37000.0
Latvia,Solar,1,500.0
Lithuania,Solar,1,1165.0
Luxemb.,Solar,1,500.0
Macedonia,Solar,1,535.0
NO1,Solar,1,500.0
NO2,Solar,1,500.0
NO3,Solar,1,500.0
NO4,Solar,1,500.0
NO5,Solar,1,500.0
Netherlands,Solar,1,24261.0
Poland,Solar,1,15809.0
Portugal,Solar,1,3876.0
Romania,Solar,1,1917.0
Serbia,Solar,1,500.0
Slovakia,Solar,1,647.0
Slovenia,Solar,1,1110.0
Spain,Solar,1,38592.0
Sweden,Solar,1,3488.0
Switzerland,Solar,1,5840.0
Austria,Solar,2,28211.0
Belgium,Solar,2,17630.0
Bosnia H,Solar,2,1486.0
Bulgaria,Solar,2,15724.0
Croatia,Solar,2,3022.0
Czech R,Solar,2,7769.0
Denmark,Solar,2,16820.0
Estonia,Solar,2,4342.0
Finland,Solar,2,3845.0
France,Solar,2,65671.0
Germany,Solar,2,186954.0
Great Brit.,Solar,2,30888.0
Greece,Solar,2,16365.0
Hungary,Solar,2,23167.0
Ireland,Solar,2,5343.0
Italy,Solar,2,71335.0
Latvia,Solar,2,3190.0
Lithuania,Solar,2,7788.0
Luxemb.,Solar,2,1354.0
Macedonia,Solar,2,4183.0
NO1,Solar,2,2781.0
NO2,Solar,2,3210.0
NO3,Solar,2,2865.0
NO4,Solar,2,2963.0
NO5,Solar,2,3036.0
Netherlands,Solar,2,54066.0
Poland,Solar,2,76968.0
Portugal,Solar,2,14620.0
Romania,Solar,2,3430.0
Serbia,Solar,2,1517.0
Slovakia,Solar,2,940.0
Slovenia,Solar,2,3970.0
Spain,Solar,2,161339.0
Sweden,Solar,2,15141.0
Switzerland,Solar,2,15330.0
Austria,Solar,3,62494.0
Belgium,Solar,3,30102.0
Bosnia H,Solar,3,4116.0
Bulgaria,Solar,3,38446.0
Croatia,Solar,3,12849.0
Czech R,Solar,3,14449.0
Denmark,Solar,3,45976.0
Estonia,Solar,3,14421.0
Finland,Solar,3,13336.0
France,Solar,3,163929.0
Germany,Solar,3,309013.0
Great Brit.,Solar,3,54811.0
Greece,Solar,3,33132.0
Hungary,Solar,3,60910.0
Ireland,Solar,3,32041.0
Italy,Solar,3,128925.0
Latvia,Solar,3,12903.0
Lithuania,Solar,3,30487.0
Luxemb.,Solar,3,2495.0
Macedonia,Solar,3,14906.0
NO1,Solar,3,7713.0
NO2,Solar,3,13354.0
NO3,Solar,3,8503.0
NO4,Solar,3,9565.0
NO5,Solar,3,10502.0
Netherlands,Solar,3,70761.0
Poland,Solar,3,247973.0
Portugal,Solar,3,36966.0
Romania,Solar,3,6078.0
Serbia,Solar,3,4451.0
Slovakia,Solar,3,1362.0
Slovenia,Solar,3,10409.0
Spain,Solar,3,363154.0
Sweden,Solar,3,44203.0
Switzerland,Solar,3,33864.0
Austria,Solar,4,81423.0
Belgium,Solar,4,42478.0
Bosnia H,Solar,4,9640.0
Bulgaria,Solar,4,54670.0
Croatia,Solar,4,25347.0
Czech R,Solar,4,25071.0
Denmark,Solar,4,75166.0
Estonia,Solar,4,23009.0
Finland,Solar,4,28796.0
France,Solar,4,351529.0
Germany,Solar,4,424577.0
Great Brit.,Solar,4,92648.0
Greece,Solar,4,54360.0
Hungary,Solar,4,92271.0
Ireland,Solar,4,96313.0
Italy,Solar,4,210876.0
Latvia,Solar,4,22488.0
Lithuania,Solar,4,49312.0
Luxemb.,Solar,4,3220.0
Macedonia,Solar,4,20423.0
NO1,Solar,4,10264.0
NO2,Solar,4,23971.0
NO3,Solar,4,11741.0
NO4,Solar,4,13909.0
NO5,Solar,4,16023.0
Netherlands,Solar,4,75222.0
Poland,Solar,4,410588.0
Portugal,Solar,4,55452.0
Romania,Solar,4,10593.0
Serbia,Solar,4,11902.0
Slovakia,Solar,4,1969.0
Slovenia,Solar,4,17049.0
Spain,Solar,4,464721.0
Sweden,Solar,4,71039.0
Switzerland,Solar,4,57121.0
Austria,Solar,5,86432.0
Belgium,Solar,5,51136.0
Bosnia H,Solar,5,17051.0
Bulgaria,Solar,5,59857.0
Croatia,Solar,5,29732.0
Czech R,Solar,5,39313.0
Denmark,Solar,5,87631.0
Estonia,Solar,5,25446.0
Finland,Solar,5,38504.0
France,Solar,5,593986.0
Germany,Solar,5,503003.0
Great Brit.,Solar,5,145673.0
Greece,Solar,5,71922.0
Hungary,Solar,5,103374.0
Ireland,Solar,5,131557.0
Italy,Solar,5,303848.0
Latvia,Solar,5,25098.0
Lithuania,Solar,5,53652.0
Luxemb.,Solar,5,3492.0
Macedonia,Solar,5,21252.0
NO1,Solar,5,10763.0
NO2,Solar,5,26977.0
NO3,Solar,5,12403.0
NO4,Solar,5,14855.0
NO5,Solar,5,17298.0
Netherlands,Solar,5,76144.0
Poland,Solar,5,464940.0
Portugal,Solar,5,62240.0
Romania,Solar,5,17959.0
Serbia,Solar,5,25999.0
Slovakia,Solar,5,2835.0
Slovenia,Solar,5,20133.0
Spain,Solar,5,488597.0
Sweden,Solar,5,80678.0
Switzerland,Solar,5,74307.0
Austria,Solar,6,87461.0
Belgium,Solar,6,55823.0
Bosnia H,Solar,6,22705.0
Bulgaria,Solar,6,61047.0
Croatia,Solar,6,30533.0
Czech R,Solar,6,54593.0
Denmark,Solar,6,91012.0
Estonia,Solar,6,25887.0
Finland,Solar,6,41550.0
France,Solar,6,787791.0
Germany,Solar,6,544971.0
Great Brit.,Solar,6,208639.0
Greece,Solar,6,82021.0
Hungary,Solar,6,106036.0
Ireland,Solar,6,138317.0
Italy,Solar,6,385706.0
Latvia,Solar,6,25512.0
Lithuania,Solar,6,54277.0
Luxemb.,Solar,6,3572.0
Macedonia,Solar,6,21343.0
NO1,Solar,6,10837.0
NO2,Solar,6,27459.0
NO3,Solar,6,12502.0
NO4,Solar,6,14998.0
NO5,Solar,6,17493.0
Netherlands,Solar,6,76323.0
Poland,Solar,6,476176.0
Portugal,Solar,6,63948.0
Romania,Solar,6,29149.0
Serbia,Solar,6,42179.0
Slovakia,Solar,6,4060.0
Slovenia,Solar,6,21047.0
Spain,Solar,6,493023.0
Sweden,Solar,6,82892.0
Switzerland,Solar,6,82686.0
Austria,Solar,7,87660.0
Belgium,Solar,7,58013.0
Bosnia H,Solar,7,25436.0
Bulgaria,Solar,7,61297.0
Croatia,Solar,7,30658.0
Czech R,Solar,7,67526.0
Denmark,Solar,7,91806.0
Estonia,Solar,7,25959.0
Finland,Solar,7,42278.0
France,Solar,7,891547.0
Germany,Solar,7,564610.0
Great Brit.,Solar,7,270230.0
Greece,Solar,7,86659.0
Hungary,Solar,7,106608.0
Ireland,Solar,7,139273.0
Italy,Solar,7,443179.0
Latvia,Solar,7,25571.0
Lithuania,Solar,7,54360.0
Luxemb.,Solar,7,3595.0
Macedonia,Solar,7,21353.0
NO1,Solar,7,10847.0
NO2,Solar,7,27528.0
NO3,Solar,7,12516.0
NO4,Solar,7,15018.0
NO5,Solar,7,17521.0
Netherlands,Solar,7,76358.0
Poland,Solar,7,478236.0
Portugal,Solar,7,64333.0
Romania,Solar,7,44432.0
Serbia,Solar,7,52827.0
Slovakia,Solar,7,5769.0
Slovenia,Solar,7,21280.0
Spain,Solar,7,493804.0
Sweden,Solar,7,83342.0
Switzerland,Solar,7,85950.0
Belgium,Wind_offshr_floating,1,0.0
Borssele,Wind_offshr_floating,1,0.0
Denmark,Wind_offshr_floating,1,0.0
Dogger Bank,Wind_offshr_floating,1,0.0
East Anglia,Wind_offshr_floating,1,0.0
Firth of Forth,Wind_offshr_floating,1,0.0
France,Wind_offshr_floating,1,0.0
Germany,Wind_offshr_floating,1,0.0
Great Brit.,Wind_offshr_floating,1,0.0
Helgoländer Bucht,Wind_offshr_floating,1,0.0
Hollandsee Kust,Wind_offshr_floating,1,0.0
Hornsea,Wind_offshr_floating,1,0.0
Moray Firth,Wind_offshr_floating,1,0.0
Netherlands,Wind_offshr_floating,1,0.0
Nordsøen,Wind_offshr_floating,1,0.0
Norfolk,Wind_offshr_floating,1,0.0
Outer Dowsing,Wind_offshr_floating,1,0.0
Belgium,Wind_offshr_floating,2,0.0
Borssele,Wind_offshr_floating,2,0.0
Denmark,Wind_offshr_floating,2,0.0
Dogger Bank,Wind_offshr_floating,2,0.0
East Anglia,Wind_offshr_floating,2,0.0
Estonia,Wind_offshr_floating,2,0.0
Finland,Wind_offshr_floating,2,0.0
Firth of Forth,Wind_offshr_floating,2,553.0
France,Wind_offshr_floating,2,78.0
Germany,Wind_offshr_floating,2,0.0
Great Brit.,Wind_offshr_floating,2,0.0
Helgoländer Bucht,Wind_offshr_floating,2,0.0
Hollandsee Kust,Wind_offshr_floating,2,0.0
Hornsea,Wind_offshr_floating,2,0.0
Ireland,Wind_offshr_floating,2,26.0
Italy,Wind_offshr_floating,2,0.0
Latvia,Wind_offshr_floating,2,0.0
Lithuania,Wind_offshr_floating,2,0.0
Moray Firth,Wind_offshr_floating,2,232.0
NO2,Wind_offshr_floating,2,0.0
Netherlands,Wind_offshr_floating,2,0.0
Nordsøen,Wind_offshr_floating,2,0.0
Norfolk,Wind_offshr_floating,2,0.0
Outer Dowsing,Wind_offshr_floating,2,0.0
Poland,Wind_offshr_floating,2,0.0
Portugal,Wind_offshr_floating,2,24.0
Spain,Wind_offshr_floating,2,25.0
Sweden,Wind_offshr_floating,2,25.0
Sørlige Nordsjø I,Wind_offshr_floating,2,11.0
Sørlige Nordsjø II,Wind_offshr_floating,2,36.0
Utsira Nord,Wind_offshr_floating,2,17.0
Belgium,Wind_offshr_floating,3,0.0
Borssele,Wind_offshr_floating,3,0.0
Denmark,Wind_offshr_floating,3,0.0
Dogger Bank,Wind_offshr_floating,3,0.0
East Anglia,Wind_offshr_floating,3,0.0
Estonia,Wind_offshr_floating,3,0.0
Finland,Wind_offshr_floating,3,0.0
Firth of Forth,Wind_offshr_floating,3,1947.0
France,Wind_offshr_floating,3,385.0
Germany,Wind_offshr_floating,3,0.0
Great Brit.,Wind_offshr_floating,3,0.0
Helgoländer Bucht,Wind_offshr_floating,3,0.0
Hollandsee Kust,Wind_offshr_floating,3,0.0
Hornsea,Wind_offshr_floating,3,0.0
Ireland,Wind_offshr_floating,3,133.0
Italy,Wind_offshr_floating,3,0.0
Latvia,Wind_offshr_floating,3,0.0
Lithuania,Wind_offshr_floating,3,0.0
Moray Firth,Wind_offshr_floating,3,817.0
NO2,Wind_offshr_floating,3,0.0
Netherlands,Wind_offshr_floating,3,0.0
Nordsøen,Wind_offshr_floating,3,0.0
Norfolk,Wind_offshr_floating,3,0.0
Outer Dowsing,Wind_offshr_floating,3,0.0
Poland,Wind_offshr_floating,3,0.0
Portugal,Wind_offshr_floating,3,103.0
Spain,Wind_offshr_floating,3,115.0
Sweden,Wind_offshr_floating,3,125.0
Sørlige Nordsjø I,Wind_offshr_floating,3,55.0
Sørlige Nordsjø II,Wind_offshr_floating,3,173.0
Utsira Nord,Wind_offshr_floating,3,81.0
Belgium,Wind_offshr_floating,4,0.0
Borssele,Wind_offshr_floating,4,0.0
Denmark,Wind_offshr_floating,4,0.0
Dogger Bank,Wind_offshr_floating,4,0.0
East Anglia,Wind_offshr_floating,4,0.0
Estonia,Wind_offshr_floating,4,0.0
Finland,Wind_offshr_floating,4,0.0
Firth of Forth,Wind_offshr_floating,4,4313.0
France,Wind_offshr_floating,4,1258.0
Germany,Wind_offshr_floating,4,0.0
Great Brit.,Wind_offshr_floating,4,0.0
Helgoländer Bucht,Wind_offshr_floating,4,0.0
Hollandsee Kust,Wind_offshr_floating,4,0.0
Hornsea,Wind_offshr_floating,4,0.0
Ireland,Wind_offshr_floating,4,446.0
Italy,Wind_offshr_floating,4,0.0
Latvia,Wind_offshr_floating,4,0.0
Lithuania,Wind_offshr_floating,4,0.0
Moray Firth,Wind_offshr_floating,4,1810.0
NO2,Wind_offshr_floating,4,0.0
Netherlands,Wind_offshr_floating,4,0.0
Nordsøen,Wind_offshr_floating,4,0.0
Norfolk,Wind_offshr_floating,4,0.0
Outer Dowsing,Wind_offshr_floating,4,0.0
Poland,Wind_offshr_floating,4,0.0
Portugal,Wind_offshr_floating,4,286.0
Spain,Wind_offshr_floating,4,361.0
Sweden,Wind_offshr_floating,4,447.0
Sørlige Nordsjø I,Wind_offshr_floating,4,182.0
Sørlige Nordsjø II,Wind_offshr_floating,4,575.0
Utsira Nord,Wind_offshr_floating,4,268.0
Belgium,Wind_offshr_floating,5,0.0
Borssele,Wind_offshr_floating,5,0.0
Denmark,Wind_offshr_floating,5,0.0
Dogger Bank,Wind_offshr_floating,5,0.0
East Anglia,Wind_offshr_floating,5,0.0
Estonia,Wind_offshr_floating,5,0.0
Finland,Wind_offshr_floating,5,0.0
Firth of Forth,Wind_offshr_floating,5,7212.0
France,Wind_offshr_floating,5,2949.0
Germany,Wind_offshr_floating,5,0.0
Great Brit.,Wind_offshr_floating,5,0.0
Helgoländer Bucht,Wind_offshr_floating,5,0.0
Hollandsee Kust,Wind_offshr_floating,5,0.0
Hornsea,Wind_offshr_floating,5,0.0
Ireland,Wind_offshr_floating,5,1092.0
Italy,Wind_offshr_floating,5,0.0
Latvia,Wind_offshr_floating,5,0.0
Lithuania,Wind_offshr_floating,5,0.0
Moray Firth,Wind_offshr_floating,5,3027.0
NO2,Wind_offshr_floating,5,0.0
Netherlands,Wind_offshr_floating,5,0.0
Nordsøen,Wind_offshr_floating,5,0.0
Norfolk,Wind_offshr_floating,5,0.0
Outer Dowsing,Wind_offshr_floating,5,0.0
Poland,Wind_offshr_floating,5,0.0
Portugal,Wind_offshr_floating,5,570.0
Spain,Wind_offshr_floating,5,841.0
Sweden,Wind_offshr_floating,5,1287.0
Sørlige Nordsjø I,Wind_offshr_floating,5,461.0
Sørlige Nordsjø II,Wind_offshr_floating,5,1454.0
Utsira Nord,Wind_offshr_floating,5,679.0
Belgium,Wind_offshr_floating,6,0.0
Borssele,Wind_offshr_floating,6,0.0
Denmark,Wind_offshr_floating,6,0.0
Dogger Bank,Wind_offshr_floating,6,0.0
East Anglia,Wind_offshr_floating,6,0.0
Estonia,Wind_offshr_floating,6,0.0
Finland,Wind_offshr_floating,6,0.0
Firth of Forth,Wind_offshr_floating,6,10106.0
France,Wind_offshr_floating,6,5103.0
Germany,Wind_offshr_floating,6,0.0
Great Brit.,Wind_offshr_floating,6,0.0
Helgoländer Bucht,Wind_offshr_floating,6,0.0
Hollandsee Kust,Wind_offshr_floating,6,0.0
Hornsea,Wind_offshr_floating,6,0.0
Ireland,Wind_offshr_floating,6,1967.0
Italy,Wind_offshr_floating,6,0.0
Latvia,Wind_offshr_floating,6,0.0
Lithuania,Wind_offshr_floating,6,0.0
Moray Firth,Wind_offshr_floating,6,4242.0
NO2,Wind_offshr_floating,6,0.0
Netherlands,Wind_offshr_floating,6,0.0
Nordsøen,Wind_offshr_floating,6,0.0
Norfolk,Wind_offshr_floating,6,0.0
Outer Dowsing,Wind_offshr_floating,6,0.0
Poland,Wind_offshr_floating,6,0.0
Portugal,Wind_offshr_floating,6,883.0
Spain,Wind_offshr_floating,6,1484.0
Sweden,Wind_offshr_floating,6,2947.0
Sørlige Nordsjø I,Wind_offshr_floating,6,887.0
Sørlige Nordsjø II,Wind_offshr_floating,6,2801.0
Utsira Nord,Wind_offshr_floating,6,1308.0
Belgium,Wind_offshr_floating,7,0.0
Borssele,Wind_offshr_floating,7,0.0
Denmark,Wind_offshr_floating,7,0.0
Dogger Bank,Wind_offshr_floating,7,0.0
East Anglia,Wind_offshr_floating,7,0.0
Estonia,Wind_offshr_floating,7,0.0
Finland,Wind_offshr_floating,7,0.0
Firth of Forth,Wind_offshr_floating,7,12785.0
France,Wind_offshr_floating,7,7129.0
Germany,Wind_offshr_floating,7,0.0
Great Brit.,Wind_offshr_floating,7,0.0
Helgoländer Bucht,Wind_offshr_floating,7,0.0
Hollandsee Kust,Wind_offshr_floating,7,0.0
Hornsea,Wind_offshr_floating,7,0.0
Ireland,Wind_offshr_floating,7,2817.0
Italy,Wind_offshr_floating,7,0.0
Latvia,Wind_offshr_floating,7,0.0
Lithuania,Wind_offshr_floating,7,0.0
Moray Firth,Wind_offshr_floating,7,5366.0
NO2,Wind_offshr_floating,7,0.0
Netherlands,Wind_offshr_floating,7,0.0
Nordsøen,Wind_offshr_floating,7,0.0
Norfolk,Wind_offshr_floating,7,0.0
Outer Dowsing,Wind_offshr_floating,7,0.0
Poland,Wind_offshr_floating,7,0.0
Portugal,Wind_offshr_floating,7,1169.0
Spain,Wind_offshr_floating,7,2123.0
Sweden,Wind_offshr_floating,7,5240.0
Sørlige Nordsjø I,Wind_offshr_floating,7,1349.0
Sørlige Nordsjø II,Wind_offshr_floating,7,4261.0
Utsira Nord,Wind_offshr_floating,7,1990.0
Belgium,Wind_offshr_grounded,1,2262.0
Borssele,Wind_offshr_grounded,1,3739.0
Denmark,Wind_offshr_grounded,1,2650.0
Dogger Bank,Wind_offshr_grounded,1,3681.0
East Anglia,Wind_offshr_grounded,1,2807.0
Firth of Forth,Wind_offshr_grounded,1,1138.0
France,Wind_offshr_grounded,1,1483.0
Germany,Wind_offshr_grounded,1,8407.0
Great Brit.,Wind_offshr_grounded,1,0.0
Helgoländer Bucht,Wind_offshr_grounded,1,7166.0
Hollandsee Kust,Wind_offshr_grounded,1,357.0
Hornsea,Wind_offshr_grounded,1,2599.0
Moray Firth,Wind_offshr_grounded,1,2415.0
Netherlands,Wind_offshr_grounded,1,0.0
Nordsøen,Wind_offshr_grounded,1,1120.0
Norfolk,Wind_offshr_grounded,1,60.0
Outer Dowsing,Wind_offshr_grounded,1,2809.0
